300454243123693,4750,0
300454243123693,4749,2
300454243123693,4743,10
300454243123693,4742,10
300454243123693,4680,1
300454243123693,3642,3975
300454243123694,4858,100
300454243123694,4851,1
300454243123694,3642,3975
300454243123695,5927,17
300454243123695,5929,6406
300454243123695,3642,3975
300454243123695,5930,1
300454243123695,5928,15
300454243123696,5916,100
300454243123696,5915,6395
300454243123696,3642,3975
300454243123696,5918,1
300454243123697,3642,3975
300454243123697,4680,1
300454243123698,4680,1
300454243123698,5426,6040
300454243123698,5428,1900
300454243123698,5429,6048
300454243123698,5430,20
300454243123698,5524,200
300454243123698,3642,3975
300454243123698,5525,6136
300454243123702,5525,6136
300454243123702,5524,272
300454243123702,5430,72
300454243123702,5429,6048
300454243123702,5428,2589
300454243123702,5426,6040
300454243123702,3642,3975
300454243123702,4680,1
300472446402572,3642,3975
300472446402572,4680,1
300472446402573,5168,2589
300472446402573,4680,1
300472446402573,3642,3975
300472446402573,5488,6109
300472446402573,5492,6113
300472446402573,5489,2589
300472446402573,5490,275
300472446402573,5491,150
300472446402574,3642,3975
300472446402574,4680,1
300472446402575,5612,25
300472446402575,5613,6204
300472446402575,5614,0
300472446402575,5615,20
300472446402575,3642,3975
300472446402575,4680,1
300472446402575,5608,6201
300472446402575,5609,1
300472446402575,5610,1.01
300472446402575,5611,25
300472446402576,3642,3975
300472446402576,4680,1
300472446402576,5183,1
300472446402576,5184,15
300472446402576,5493,40
300472446402576,5500,0
300472446402576,5495,2591
300472446402576,5496,7.47
300472446402576,5497,10
300472446402576,5498,20
300472446402576,5499,2541
300472446402576,5494,2551
300472446402586,5499,2537
300472446402586,4680,1
300472446402586,5497,10
300472446402586,5496,7.47
300472446402586,5495,2591
300472446402586,5494,2551
300472446402586,5493,40
300472446402586,5184,15
300472446402586,5183,1
300472446402586,5498,20
300472446402586,3642,3975
300472446402586,5500,0
300472446402587,5677,1
300472446402587,3642,3975
300454243123706,5677,1
300454243123706,3642,3975
300473117491201,3642,3975
300473117491201,5677,1
300473117491202,3642,3975
300473117491202,5677,1
300473117491207,5428,2539
300473117491207,5524,20
300473117491207,5525,6136
300473117491207,5429,6048
300473117491207,3642,3975
300473117491207,4680,1
300473117491207,5426,6040
300473117491207,5430,20
300473117491212,3642,3975
300473117491212,4680,1
300473117491213,5615,10
300473117491213,5614,0
300473117491213,5613,6204
300473117491213,5612,30
300473117491213,5610,1.01
300473117491213,5609,1
300473117491213,5608,6201
300473117491213,4680,1
300473117491213,3642,3975
300473117491213,5611,30
300473117491214,4183,1
